Date,Open,High,Low,Close
2025-01-03,96812.9,98934.4,96019.9,98303.2
2025-01-06,98652.4,102458,97900,102041
2025-01-07,102041,102721,96134.4,97128.8
2025-01-08,97138.3,97251.6,92520.6,95261.6
2025-01-09,95262.5,95351.6,91195.9,92466.7
2025-01-10,92451.3,95774.4,92033.5,94616.3
2025-01-13,93910.8,95857.9,89554.3,94360.9
2025-01-14,94360.9,97346.3,94147.7,96688.4
2025-01-15,96647.3,100699,96465.5,99708.8
2025-01-16,99717.7,100853,97346.3,99820.3
2025-01-17,99785.4,105925,99723.7,104748
2025-01-20,103002,109118,99476.7,103466
